"sales_district","total_revenue","district_rank"
"Los Angeles","209426.32","1"
"Salem","170398.94","2"
"Tacoma","157695.90","3"
"Seattle","115981.46","4"
"Portland","115334.62","5"
"San Diego","111378.46","6"
"Bremerton","110877.88","7"
"Hidalgo","110797.52","8"
"Spokane","110485.16","9"
"Mexico City","106863.66","10"
"Marida","87253.65","11"
"Vancouver","85262.31","12"
"Orizaba","57835.36","13"
"Acapulco","56396.78","14"
"Camacho","54865.49","15"
"Yakima","47576.78","16"
"Victoria","22412.03","17"
"Walla Walla","9956.85","18"
"Bellingham","9519.13","19"
"San Francisco","9324.94","20"
"Guadalajara","4903.20","21"
