"store_id","sale_month","total_quantity","prev_month_qty","qty_change","status"
1,"1998-01-01 00:00:00+05:30","2622",NULL,NULL,"No change"
1,"1998-02-01 00:00:00+05:30","1997","2622","-625","Decline"
1,"1998-03-01 00:00:00+05:30","2423","1997","426","Growth"
1,"1998-04-01 00:00:00+05:30","2251","2423","-172","Decline"
1,"1998-05-01 00:00:00+05:30","2035","2251","-216","Decline"
1,"1998-06-01 00:00:00+05:30","1599","2035","-436","Decline"
1,"1998-07-01 00:00:00+05:30","2039","1599","440","Growth"
1,"1998-08-01 00:00:00+05:30","1770","2039","-269","Decline"
1,"1998-09-01 00:00:00+05:30","2199","1770","429","Growth"
1,"1998-10-01 00:00:00+05:30","2078","2199","-121","Decline"
1,"1998-11-01 00:00:00+05:30","2213","2078","135","Growth"
1,"1998-12-01 00:00:00+05:30","3453","2213","1240","Growth"
2,"1997-01-01 00:00:00+05:30","185",NULL,NULL,"No change"
2,"1997-02-01 00:00:00+05:30","159","185","-26","Decline"
2,"1997-03-01 00:00:00+05:30","174","159","15","Growth"
2,"1997-04-01 00:00:00+05:30","195","174","21","Growth"
2,"1997-05-01 00:00:00+05:30","175","195","-20","Decline"
2,"1997-06-01 00:00:00+05:30","140","175","-35","Decline"
2,"1997-07-01 00:00:00+05:30","161","140","21","Growth"
2,"1997-08-01 00:00:00+05:30","143","161","-18","Decline"
2,"1997-09-01 00:00:00+05:30","193","143","50","Growth"
2,"1997-10-01 00:00:00+05:30","207","193","14","Growth"
2,"1997-11-01 00:00:00+05:30","275","207","68","Growth"
2,"1997-12-01 00:00:00+05:30","230","275","-45","Decline"
2,"1998-01-01 00:00:00+05:30","161","230","-69","Decline"
2,"1998-02-01 00:00:00+05:30","141","161","-20","Decline"
2,"1998-03-01 00:00:00+05:30","203","141","62","Growth"
2,"1998-04-01 00:00:00+05:30","148","203","-55","Decline"
2,"1998-05-01 00:00:00+05:30","157","148","9","Growth"
2,"1998-06-01 00:00:00+05:30","224","157","67","Growth"
2,"1998-07-01 00:00:00+05:30","198","224","-26","Decline"
2,"1998-08-01 00:00:00+05:30","204","198","6","Growth"
2,"1998-09-01 00:00:00+05:30","148","204","-56","Decline"
2,"1998-10-01 00:00:00+05:30","139","148","-9","Decline"
2,"1998-11-01 00:00:00+05:30","261","139","122","Growth"
2,"1998-12-01 00:00:00+05:30","297","261","36","Growth"
3,"1997-01-01 00:00:00+05:30","1656",NULL,NULL,"No change"
3,"1997-02-01 00:00:00+05:30","2100","1656","444","Growth"
3,"1997-03-01 00:00:00+05:30","2140","2100","40","Growth"
3,"1997-04-01 00:00:00+05:30","1965","2140","-175","Decline"
