"store_id","sold_qty","returned_qty","return_rate"
8,"40994","480","1.17"
20,"10600","121","1.14"
23,"22377","250","1.12"
12,"41808","460","1.10"
16,"52489","559","1.06"
19,"40152","420","1.05"
17,"74347","764","1.03"
11,"54526","564","1.03"
24,"52417","541","1.03"
18,"11080","112","1.01"
7,"52475","528","1.01"
15,"54865","547","1.00"
1,"26679","267","1.00"
4,"26024","255","0.98"
6,"46129","446","0.97"
9,"11910","115","0.97"
21,"38608","372","0.96"
3,"51914","496","0.96"
10,"27334","256","0.94"
13,"80762","736","0.91"
