"product_id","product_name","total_revenue","returned_revenue","return_rate"
574,"Shady Lake Spaghetti","1276.26","37.38","2.93"
581,"Walrus Merlot Wine","1527.92","42.60","2.79"
1461,"Hermanos Oranges","1418.24","38.40","2.71"
833,"Ebony Walnuts","1314.50","31.07","2.36"
1179,"Horatio Sesame Crackers","1459.65","34.19","2.34"
1169,"Horatio Low Fat Popcorn","1546.62","35.76","2.31"
102,"Golden Lime Popsicles","1288.70","29.40","2.28"
887,"Monarch Rice Medly","1152.00","25.20","2.19"
1157,"Horatio Corn Chips","1696.80","36.96","2.18"
1395,"Sunset AA-Size Batteries","1519.25","32.45","2.14"
866,"Nationeel Apple Fruit Roll","1941.06","41.52","2.14"
1178,"Horatio Low Fat Chips","1969.38","41.58","2.11"
396,"Big Time Frozen Pancakes","1697.76","35.64","2.10"
1201,"Colossal Spaghetti","1775.99","37.07","2.09"
466,"Red Wing Frying Pan","1396.53","28.93","2.07"
1073,"High Quality Plastic Knives","1835.40","37.95","2.07"
993,"Even Better Large Curd Cottage Cheese","2322.60","47.40","2.04"
658,"Bravo Fancy Canned Sardines","1444.52","29.48","2.04"
47,"Club Muenster Cheese","1267.01","25.70","2.03"
462,"Red Wing Toilet Paper","1153.28","23.32","2.02"
416,"Big Time Frozen Cauliflower","1972.08","39.84","2.02"
343,"Better Large Canned Shrimp","1145.40","23.00","2.01"
1211,"Portsmouth Light Beer","2133.77","41.69","1.95"
1321,"Lake Corned Beef","1165.32","22.41","1.92"
936,"BBB Best Extra Chunky Peanut Butter","1456.72","27.80","1.91"
1165,"Horatio Graham Crackers","1635.60","31.02","1.90"
1327,"Giant Large Brown Eggs","1850.88","34.56","1.87"
32,"Blue Label Large Canned Shrimp","1378.52","25.74","1.87"
1241,"Plato Apple Jelly","1609.20","29.80","1.85"
1306,"Booker Buttermilk","1210.30","22.23","1.84"
988,"Even Better Havarti Cheese","2173.22","39.71","1.83"
982,"Even Better Low Fat Sour Cream","1572.48","28.80","1.83"
1458,"Hermanos Honey Dew","1438.40","26.10","1.81"
