"store_id","product_brand","sale_revenue","returned_revenue","return_rate"
1,"Prelude","23.00","4.60","20.00"
18,"Akron","10.44","1.74","16.67"
8,"Quick","98.01","10.92","11.14"
9,"Green Ribbon","28.81","3.11","10.79"
24,"King","29.70","2.97","10.00"
10,"Queen","56.09","4.60","8.20"
13,"ADJ","102.12","8.28","8.11"
10,"Dual City","29.00","2.22","7.66"
23,"Kiwi","63.22","4.76","7.53"
4,"Genteel","51.80","3.80","7.34"
10,"Toretti","16.94","1.21","7.14"
4,"Framton","77.14","5.51","7.14"
9,"Gulf Coast","178.47","12.61","7.07"
20,"Johnson","33.84","2.35","6.94"
18,"Symphony","24.00","1.60","6.67"
20,"Gauss","58.08","3.80","6.54"
7,"King","30.69","1.98","6.45"
10,"Dollar","159.33","10.00","6.28"
1,"Robust","139.96","8.61","6.15"
18,"Quick","59.89","3.64","6.08"
20,"Applause","38.82","2.34","6.03"
19,"Black Tie","79.55","4.71","5.92"
9,"Shady Lake","103.75","6.06","5.84"
24,"Quick","215.59","12.50","5.80"
10,"Swell","57.92","3.26","5.63"
4,"Black Tie","27.99","1.57","5.61"
4,"Jumbo","205.38","11.52","5.61"
3,"ADJ","99.36","5.52","5.56"
12,"Washington","457.76","24.97","5.45"
8,"Footnote","76.02","3.95","5.20"
9,"Excellent","196.51","10.15","5.17"
8,"Genteel","74.70","3.80","5.09"
10,"Choice","177.82","8.84","4.97"
19,"Giant","269.22","13.30","4.94"
18,"Lake","170.70","8.37","4.90"
1,"Portsmouth","452.18","21.99","4.86"
17,"Ship Shape","219.56","10.66","4.86"
20,"Shady Lake","111.83","5.34","4.78"
18,"Giant","80.64","3.84","4.76"
8,"Dual City","72.12","3.40","4.71"
23,"Dual City","36.32","1.70","4.68"
10,"Giant","164.35","7.68","4.67"
10,"Kiwi","51.06","2.38","4.66"
20,"Gerolli","72.84","3.38","4.64"
21,"Ship Shape","127.97","5.94","4.64"
7,"Johnson","148.91","6.82","4.58"
12,"Tip Top","79.46","3.60","4.53"
12,"Queen","62.33","2.82","4.52"
16,"Black Tie","84.66","3.81","4.50"
19,"Shady Lake","226.54","10.17","4.49"
18,"Fantastic","132.53","5.94","4.48"
4,"Curlew","72.72","3.24","4.46"
20,"Washington","169.30","7.53","4.45"
7,"Amigo","125.65","5.58","4.44"
24,"Amigo","196.01","8.71","4.44"
18,"Token","120.43","5.26","4.37"
23,"King","22.77","0.99","4.35"
23,"Jardon","72.50","3.06","4.22"
24,"Mighty Good","323.62","13.50","4.17"
15,"Akron","125.94","5.24","4.16"
9,"Toucan","33.26","1.38","4.15"
18,"Monarch","113.70","4.70","4.13"
21,"Green Ribbon","95.94","3.93","4.10"
19,"Genteel","92.85","3.80","4.09"
4,"Discover","189.65","7.69","4.05"
10,"ADJ","69.00","2.76","4.00"
7,"Symphony","40.00","1.60","4.00"
24,"Toretti","30.25","1.21","4.00"
21,"Robust","211.27","8.38","3.97"
9,"Applause","71.00","2.80","3.94"
11,"Excel","287.78","11.33","3.94"
12,"Jumbo","301.95","11.88","3.93"
16,"Amigo","151.78","5.92","3.90"
1,"Toucan","36.26","1.40","3.86"
1,"ADJ","71.76","2.76","3.85"
10,"Amigo","149.84","5.75","3.84"
19,"Discover","272.50","10.40","3.82"
20,"Walrus","217.42","8.30","3.82"
21,"Walrus","416.62","15.79","3.79"
20,"Fabulous","233.64","8.82","3.78"
4,"Applause","123.90","4.68","3.78"
18,"Pearl","80.64","3.04","3.77"
6,"Tip Top","191.32","7.20","3.76"
11,"Special","466.89","17.43","3.73"
18,"Washington","98.37","3.64","3.70"
18,"Excel","100.12","3.62","3.62"
13,"Big City","86.03","3.10","3.60"
20,"Hilltop","343.93","12.35","3.59"
4,"Big City","42.40","1.52","3.58"
19,"Special","217.73","7.75","3.56"
9,"Special","99.90","3.47","3.47"
11,"Colossal","454.43","15.76","3.47"
12,"Monarch","352.86","12.21","3.46"
20,"Dollar","109.01","3.77","3.46"
1,"Carlson","796.06","27.38","3.44"
16,"Toucan","82.04","2.76","3.36"
4,"Pearl","179.55","6.00","3.34"
12,"Genteel","104.15","3.45","3.31"
15,"Discover","356.53","11.75","3.30"
6,"Special","359.06","11.86","3.30"
20,"Medalist","102.64","3.38","3.29"
20,"Monarch","55.08","1.80","3.27"
23,"Special","169.14","5.48","3.24"
4,"Choice","163.92","5.30","3.23"
3,"Gauss","388.14","12.44","3.21"
18,"Colony","115.80","3.65","3.15"
7,"Robust","339.05","10.67","3.15"
19,"Portsmouth","464.36","14.56","3.14"
1,"Jumbo","216.91","6.81","3.14"
3,"Dollar","460.38","14.41","3.13"
13,"King","63.36","1.98","3.13"
1,"Akron","56.22","1.76","3.13"
16,"Pearl","463.14","14.43","3.12"
3,"Green Ribbon","99.86","3.11","3.11"
23,"Great","366.05","11.36","3.10"
8,"Jeffers","211.35","6.48","3.07"
21,"Dollar","292.35","8.84","3.02"
12,"Jeffers","271.53","8.05","2.96"
21,"Big City","51.35","1.52","2.96"
15,"Dual City","75.06","2.22","2.96"
16,"Ship Shape","120.81","3.50","2.90"
9,"Black Tie","23.09","0.67","2.90"
8,"Green Ribbon","90.53","2.62","2.89"
3,"Kiwi","155.99","4.50","2.88"
20,"Faux Products","255.44","7.35","2.88"
8,"Tip Top","125.64","3.60","2.87"
6,"Washington","726.23","20.84","2.87"
24,"Jeffers","253.68","7.27","2.87"
11,"Toretti","42.35","1.21","2.86"
7,"Green Ribbon","156.33","4.42","2.83"
12,"Best","284.67","8.03","2.82"
19,"Queen","100.76","2.82","2.80"
10,"Blue Medal","152.68","4.26","2.79"
10,"Jumbo","203.16","5.65","2.78"
8,"Excel","285.33","7.92","2.78"
17,"Radius","380.36","10.56","2.78"
9,"Pleasant","369.56","10.24","2.77"
15,"Robust","252.34","7.00","2.77"
9,"Dollar","105.32","2.91","2.76"
3,"Urban","453.21","12.52","2.76"
8,"Red Spade","752.29","20.63","2.74"
3,"Great","990.96","27.10","2.73"
23,"Moms","371.33","10.15","2.73"
17,"Blue Medal","580.60","15.84","2.73"
18,"Mighty Good","60.33","1.64","2.72"
12,"Gulf Coast","562.19","15.27","2.72"
16,"Best","332.52","8.95","2.69"
11,"Medalist","606.45","16.26","2.68"
16,"Tip Top","134.51","3.60","2.68"
9,"Walrus","96.64","2.59","2.68"
15,"Medalist","526.44","13.98","2.66"
7,"Applause","175.68","4.68","2.66"
1,"Best","132.72","3.50","2.64"
18,"Plato","315.11","8.26","2.62"
16,"Excellent","896.21","23.35","2.61"
8,"Urban","281.26","7.32","2.60"
6,"Sphinx","457.24","11.89","2.60"
7,"Atomic","573.13","14.85","2.59"
15,"Excel","279.55","7.24","2.59"
24,"Toucan","108.68","2.80","2.58"
19,"Walrus","420.77","10.86","2.58"
23,"Red Spade","436.19","11.25","2.58"
7,"Black Tie","60.94","1.57","2.58"
18,"Cormorant","497.37","12.79","2.57"
1,"Blue Label","783.71","20.12","2.57"
17,"Colossal","541.51","13.85","2.56"
16,"Genteel","90.00","2.30","2.56"
18,"Big Time","611.72","15.51","2.54"
8,"Gulf Coast","667.72","16.97","2.54"
12,"Framton","126.25","3.21","2.54"
17,"Portsmouth","922.33","23.33","2.53"
15,"Kiwi","182.95","4.63","2.53"
7,"Fantastic","534.81","13.50","2.52"
19,"Jumbo","271.69","6.81","2.51"
3,"Framton","219.92","5.51","2.51"
8,"Gorilla","1097.13","27.28","2.49"
6,"Good","522.53","12.84","2.46"
12,"Robust","213.94","5.22","2.44"
3,"Ship Shape","121.50","2.97","2.44"
12,"Fantastic","409.37","9.94","2.43"
18,"Landslide","256.76","6.24","2.43"
18,"Thresher","151.70","3.68","2.43"
13,"Gerolli","333.14","8.10","2.43"
4,"Excel","149.54","3.62","2.42"
10,"Washington","300.92","7.28","2.42"
13,"Sphinx","889.57","21.49","2.42"
10,"National","154.41","3.74","2.42"
23,"Token","240.03","5.81","2.42"
23,"Thresher","346.82","8.36","2.41"
1,"Jardon","79.02","1.90","2.40"
7,"Monarch","408.80","9.82","2.40"
23,"Tip Top","33.01","0.79","2.39"
9,"Best","82.92","1.97","2.38"
23,"Modell","268.99","6.37","2.37"
23,"Jumbo","112.92","2.68","2.37"
17,"Token","753.95","17.79","2.36"
16,"National","337.37","7.94","2.35"
7,"Big City","49.89","1.17","2.35"
9,"Carlson","379.38","8.87","2.34"
23,"Mighty Good","180.42","4.22","2.34"
18,"Carlson","403.22","9.38","2.33"
20,"Atomic","143.67","3.33","2.32"
19,"Framton","199.42","4.60","2.31"
21,"Best","306.17","7.00","2.29"
16,"Colossal","442.72","10.11","2.28"
