"product_brand","sale_revenue","returned_revenue","return_rate"
"King","445.50","7.92","1.78"
"Genteel","1654.95","25.90","1.57"
"Robust","4598.87","66.21","1.44"
"Excel","4774.03","67.27","1.41"
"Shady Lake","6274.73","86.12","1.37"
"Special","6285.29","81.88","1.30"
"Mighty Good","5483.62","71.40","1.30"
"Amigo","2899.81","37.63","1.30"
"ADJ","1711.20","22.08","1.29"
"Jumbo","5325.75","68.04","1.28"
"Dollar","5843.75","73.66","1.26"
"Horatio","43787.75","551.46","1.26"
"Even Better","23126.10","287.53","1.24"
"Medalist","8241.20","101.12","1.23"
"Giant","5365.71","65.45","1.22"
"Colossal","7048.68","85.74","1.22"
"Walrus","9605.40","116.05","1.21"
"Portsmouth","11566.72","136.16","1.18"
"Akron","1943.02","22.78","1.17"
"Jeffers","4167.51","48.60","1.17"
"Washington","11002.23","128.89","1.17"
"Dual City","1209.34","13.98","1.16"
"Ship Shape","2460.18","28.32","1.15"
"Quick","3380.22","38.53","1.14"
"Nationeel","45384.82","515.27","1.14"
"Applause","2862.52","32.72","1.14"
"Hermanos","56659.48","633.70","1.12"
"Blue Label","24820.24","275.21","1.11"
"Pearl","6434.14","71.15","1.11"
"Monarch","6611.04","72.03","1.09"
"Faux Products","20027.47","218.75","1.09"
"Fast","40532.84","439.26","1.08"
"Urban","5965.12","64.54","1.08"
"Carlson","24990.35","269.13","1.08"
"Red Wing","39792.73","427.95","1.08"
"Framton","3201.23","33.54","1.05"
"Tip Top","2171.83","22.74","1.05"
"Modell","10153.39","105.38","1.04"
"Good","9853.95","101.36","1.03"
"Musial","9671.39","99.62","1.03"
"Green Ribbon","2117.84","21.61","1.02"
"Fantastic","9417.30","96.24","1.02"
"Gulf Coast","11617.74","118.69","1.02"
"CDR","30506.50","308.42","1.01"
"Big Time","39344.18","397.57","1.01"
"Pleasant","24865.88","251.22","1.01"
"Discover","5602.63","55.83","1.00"
"Excellent","13311.41","133.01","1.00"
"Gorilla","23971.20","239.20","1.00"
"Tell Tale","51561.22","515.48","1.00"
"High Quality","40015.04","399.56","1.00"
"Plato","29114.13","289.98","1.00"
"Best","5179.66","51.81","1.00"
"Sphinx","8640.62","85.55","0.99"
"Lake","15680.42","155.52","0.99"
"Sunset","34392.68","340.72","0.99"
"High Top","47200.53","468.99","0.99"
"Tri-State","49347.75","485.11","0.98"
"Better","21577.40","211.87","0.98"
"Club","22968.82","222.84","0.97"
"Skinner","11509.48","111.93","0.97"
"Golden","33048.73","321.43","0.97"
"Great","14388.66","137.76","0.96"
"Fabulous","13684.98","131.56","0.96"
"Hilltop","26644.39","255.26","0.96"
"Steady","17680.56","170.54","0.96"
"Ebony","49727.46","477.64","0.96"
"Red Spade","16504.74","158.64","0.96"
"Imagine","35344.46","334.66","0.95"
"Toucan","1633.38","15.28","0.94"
"Queen","1788.51","16.62","0.93"
"Black Tie","1329.57","12.33","0.93"
"Johnson","2497.63","23.30","0.93"
"Gauss","7186.78","65.99","0.92"
"Kiwi","2511.71","23.15","0.92"
"Landslide","27265.49","251.55","0.92"
"PigTail","28571.73","260.24","0.91"
"Colony","9469.94","86.34","0.91"
"Choice","5552.98","49.97","0.90"
"BBB Best","31199.37","281.49","0.90"
"Token","8466.86","76.35","0.90"
"Footnote","1375.04","12.30","0.89"
"Bravo","27659.06","245.53","0.89"
"Blue Medal","6046.49","53.35","0.88"
"Cutting Edge","14071.11","124.05","0.88"
"Fort West","40061.03","354.36","0.88"
"Cormorant","36579.91","317.42","0.87"
"Denny","39696.15","340.62","0.86"
"Best Choice","42738.02","366.52","0.86"
"Carrington","36065.67","307.46","0.85"
"Super","32312.66","275.54","0.85"
"Consolidated","19457.09","165.13","0.85"
"Just Right","23932.12","202.93","0.85"
"American","16359.81","135.69","0.83"
"Bird Call","19141.16","158.28","0.83"
"Atomic","8155.33","67.49","0.83"
"Moms","16411.63","133.90","0.82"
"Jardon","2603.12","20.94","0.80"
"Gerolli","2778.76","22.26","0.80"
"Toretti","623.15","4.84","0.78"
"Booker","21457.25","166.50","0.78"
"Radius","3853.05","28.76","0.75"
"Swell","2350.82","17.72","0.75"
"Thresher","10289.75","74.97","0.73"
"Big City","1100.47","7.31","0.66"
"Curlew","2238.84","13.26","0.59"
"Top Measure","6995.09","40.43","0.58"
"Symphony","841.60","4.80","0.57"
"Prelude","1228.20","6.90","0.56"
"National","5352.76","29.60","0.55"
"James Bay","2996.84","7.22","0.24"
